Spell Name,Audit - Resolution Model,Audit - Cantrip Decision,Audit - Damage Budget,Audit - Rider Budget,Audit - Damage Verdict,Audit - Permanent Effect Verdict,Audit - Original Class Verdict,Audit - Suggested Class Additions,Audit - Suggested Class Removals,Audit - Class Rationale,Audit - Action Economy Verdict,Audit - Upcasting Verdict,Audit - Overall Balance Verdict,Audit - Recommended Change Summary
Forced Alignment,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Imperial Shroud of Denial,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Sorcerer, Warlock","Removed non-thematic/high-level access for Sorcerer, Warlock",Keep Action,Needs Manual Review,Acceptable,"Removed Sorcerer, Warlock access"
Loop of the Stolen Moment,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Mannequin's Lament,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Needs Manual Review,Needs Manual Review,Added Druid access; Review unclear damage
Mindspike Detonation,Saving Throw,Needs Manual Review,14.6-32.4 expected; 28.0 listed,Strong rider: reduced damage budget,Acceptable,Safe,Broaden Access,Bard,,Added thematic access for Bard,Keep Action,Add Damage Scaling,Acceptable,Added Bard access
Paradox Echo,Automatic with prerequisite,Needs Manual Review,29.2-43.2 expected; 21.0 listed,No strong rider,Too Low,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Removed Sorcerer access
Power Word: Unravel,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Narrow Access,Druid,Sorcerer,Added thematic access for Druid; Removed non-thematic/high-level access for Sorcerer,Change to Bonus Action,Needs Manual Review,Acceptable,Added Druid access; Removed Sorcerer access; Bonus Action casting
Prism Shear ,Saving Throw,Needs Manual Review,45.0-54.0 expected; 66.0 listed,No strong rider,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Needs Manual Review,Review named damage outlier; Review unclear damage
Rimefold Exsanguination,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Needs Manual Review,Review unclear damage
Rite of the Quiet Mind,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,Bard,,Added thematic access for Bard,Keep Action,Needs Manual Review,Acceptable,Added Bard access
Sanctioned Haunting,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Needs Dispel Method,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Needs Manual Review,Removed Sorcerer access; Review permanent effect
Slip Between Timelines,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Change to Bonus Action,Needs Manual Review,Acceptable,Removed Sorcerer access; Bonus Action casting
Stone Ship,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Remove Classes,,"Artificer, Sorcerer","Removed non-thematic/high-level access for Artificer, Sorcerer",Keep Action,Needs Manual Review,Needs Manual Review,"Removed Artificer, Sorcerer access; Review unclear damage"
Summon the Saint,Automatic with prerequisite,Needs Manual Review,45.0-54.0 expected; 3.5 listed,No strong rider,Too Low,Needs Save,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Needs Manual Review,Review permanent effect
The Backdoor,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Change to Ritual,Needs Manual Review,Acceptable,Ritual casting
The Bleeding Contract,Saving Throw,Needs Manual Review,45.0-54.0 expected; 3.5 listed,No strong rider,Too Low,Needs Dispel Method,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Needs Manual Review,Review permanent effect
The Maw That Hungers,Saving Throw,Needs Manual Review,14.6-32.4 expected; 11.0 listed,Strong rider: reduced damage budget,Too Low,Safe,Narrow Access,Cleric,Sorcerer,Added thematic access for Cleric; Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Added Cleric access; Removed Sorcerer access
Theorem of the Broken Weft,Saving Throw,Needs Manual Review,14.6-32.4 expected; 16.5 listed,Strong rider: reduced damage budget,Acceptable,Safe,Narrow Access,Bard,Artificer,Added thematic access for Bard; Removed non-thematic/high-level access for Artificer,Keep Action,Add Damage Scaling,Acceptable,Added Bard access; Removed Artificer access
Usurpation of Will,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Warlock,Removed non-thematic/high-level access for Warlock,Keep Action,Needs Manual Review,Acceptable,Removed Warlock access
Veilward Bastion,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Paladin,Removed non-thematic/high-level access for Paladin,Change to Ritual,Needs Manual Review,Acceptable,Removed Paladin access; Ritual casting
Verdict of the Forgotten,Saving Throw,Needs Manual Review,14.6-32.4 expected; 55.0 listed,Strong rider: reduced damage budget,Too High Because of Rider,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Viral Purge,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Needs Manual Review,Acceptable,Added Druid access
Wogar's Harvest of Haunting Onyx,Saving Throw,Needs Manual Review,45.0-54.0 expected; 27.5 listed,No strong rider,Too Low,Safe,Narrow Access,Cleric,Sorcerer,Added thematic access for Cleric; Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Added Cleric access; Removed Sorcerer access
Alerrim's Solitude,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Remove Classes,,"Sorcerer, Warlock","Removed non-thematic/high-level access for Sorcerer, Warlock",Keep Action,Needs Manual Review,Acceptable,"Removed Sorcerer, Warlock access"
Fire Meltdown,Saving Throw,Needs Manual Review,39.3-57.2 expected; 55.0 listed,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Removed Sorcerer access
Dyrnar's Doom of Despair,Saving Throw,Needs Manual Review,60.5-71.5 expected; 18.0 listed,No strong rider,Too Low,Safe,Remove Classes,,"Cleric, Sorcerer","Removed non-thematic/high-level access for Cleric, Sorcerer",Keep Action,Add Damage Scaling,Acceptable,"Removed Cleric, Sorcerer access"
Echoing Pulse of Time,Automatic with prerequisite,Needs Manual Review,19.7-42.9 expected; 13.5 listed,Strong rider: reduced damage budget,Too Low,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Removed Sorcerer access
Edict of Imperial Suspension,Saving Throw,Needs Manual Review,60.5-71.5 expected; 2.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Edict of Obliterated Claim,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Remove Classes,,Paladin,Removed non-thematic/high-level access for Paladin,Change to Ritual,Needs Manual Review,Acceptable,Removed Paladin access; Ritual casting
Erasure of Pain,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Remove Classes,,"Cleric, Paladin, Warlock","Removed non-thematic/high-level access for Cleric, Paladin, Warlock",Keep Action,Needs Manual Review,Needs Manual Review,"Removed Cleric, Paladin, Warlock access; Review unclear damage"
Flawless Diamond of Dread,Saving Throw,Needs Manual Review,30.2-53.6 expected; 40.5 listed,Strong rider: reduced damage budget,Acceptable,Safe,Remove Classes,,Warlock,Removed non-thematic/high-level access for Warlock,Keep Action,Add Damage Scaling,Acceptable,Removed Warlock access
Formula of Unraveling,Saving Throw,Needs Manual Review,30.2-53.6 expected; 78.0 listed,Strong rider: reduced damage budget,Needs Manual Review,Safe,Narrow Access,Bard,Sorcerer,Added thematic access for Bard; Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Needs Manual Review,Added Bard access; Removed Sorcerer access; Review named damage outlier; Review unclear damage
Giocrin's Incantation of Bitterness,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Remove Classes,,Warlock,Removed non-thematic/high-level access for Warlock,Keep Action,Needs Manual Review,Needs Manual Review,Removed Warlock access; Review unclear damage
Incantation of Viridian Determination,Automatic with prerequisite,Needs Manual Review,30.2-53.6 expected; 16.5 listed,Strong rider: reduced damage budget,Too Low,Safe,Narrow Access,"Bard, Cleric",Paladin,"Added thematic access for Bard, Cleric; Removed non-thematic/high-level access for Paladin",Keep Action,Add Damage Scaling,Acceptable,"Added Bard, Cleric access; Removed Paladin access"
Litany of Flesh,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Bard,Paladin,Added thematic access for Bard; Removed non-thematic/high-level access for Paladin,Keep Action,Needs Manual Review,Acceptable,Added Bard access; Removed Paladin access
Looming Obsidian of Anarchy,Saving Throw,Needs Manual Review,30.2-53.6 expected; 21.0 listed,Strong rider: reduced damage budget,Too Low,Safe,Narrow Access,Bard,Sorcerer,Added thematic access for Bard; Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Added Bard access; Removed Sorcerer access
Mnemonic Fortress,Saving Throw,Needs Manual Review,60.5-71.5 expected; 22.5 listed,No strong rider,Too Low,Safe,Narrow Access,Bard,Sorcerer,Added thematic access for Bard; Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Added Bard access; Removed Sorcerer access
Obsolescence,Saving Throw,Needs Manual Review,60.5-71.5 expected; 55.0 listed,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Removed Sorcerer access
Perfect Restoration,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Paladin,Removed non-thematic/high-level access for Paladin,Keep Action,Needs Manual Review,Acceptable,Removed Paladin access
Reality Sidestep,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Needs Dispel Method,Narrow Access,Druid,"Sorcerer, Warlock","Added thematic access for Druid; Removed non-thematic/high-level access for Sorcerer, Warlock",Keep Action,Needs Manual Review,Needs Manual Review,"Added Druid access; Removed Sorcerer, Warlock access; Review unclear damage; Review permanent effect"
Rebuild Reality,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Wizard,Removed non-thematic/high-level access for Wizard,Keep Action,Needs Manual Review,Acceptable,Removed Wizard access
Restored Order,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Paladin,Removed non-thematic/high-level access for Paladin,Keep Action,Needs Manual Review,Acceptable,Removed Paladin access
Reweaving of the False Thread,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Needs Dispel Method,Narrow Access,Bard,Sorcerer,Added thematic access for Bard; Removed non-thematic/high-level access for Sorcerer,Change to Ritual,Needs Manual Review,Needs Manual Review,Added Bard access; Removed Sorcerer access; Ritual casting; Review permanent effect
Skin Unwoven,Saving Throw,Needs Manual Review,30.2-53.6 expected; 22.0 listed,Strong rider: reduced damage budget,Too Low,Needs Manual Review,Narrow Access,Bard,Warlock,Added thematic access for Bard; Removed non-thematic/high-level access for Warlock,Keep Action,Add Damage Scaling,Needs Manual Review,Added Bard access; Removed Warlock access; Review permanent effect
Struck from the Loom,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Needs Dispel Method,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Needs Manual Review,Removed Sorcerer access; Review permanent effect
Thallan's Septic Mandala,Saving Throw,Needs Manual Review,19.7-42.9 expected; 3.5 listed,Strong rider: reduced damage budget,Too Low,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Removed Sorcerer access
The Spear of Forgotten Kings,Saving Throw,Needs Manual Review,39.3-57.2 expected; 33.0 listed,No strong rider,Acceptable,Safe,Narrow Access,Bard,Warlock,Added thematic access for Bard; Removed non-thematic/high-level access for Warlock,Keep Action,Add Damage Scaling,Acceptable,Added Bard access; Removed Warlock access
Tortak's Siphon of Haunting Moss,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Sorcerer, Wizard","Removed non-thematic/high-level access for Sorcerer, Wizard",Keep Action,Needs Manual Review,Acceptable,"Removed Sorcerer, Wizard access"
Yarol's Solitude,Saving Throw,Needs Manual Review,30.2-53.6 expected; 2.0 listed,Strong rider: reduced damage budget,Too Low,Safe,Remove Classes,,Wizard,Removed non-thematic/high-level access for Wizard,Keep Action,Add Damage Scaling,Acceptable,Removed Wizard access
Bloom Canker,Saving Throw,Needs Manual Review,42.9-61.6 expected; 44.0 listed,No strong rider,Acceptable,Safe,Narrow Access,Wizard,Sorcerer,Added thematic access for Wizard; Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Added Wizard access; Removed Sorcerer access
Conflagration of Unbound Force,Saving Throw,Needs Manual Review,42.9-61.6 expected; 66.0 listed,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Chronoseal,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Narrow Access,Bard,Sorcerer,Added thematic access for Bard; Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Needs Manual Review,Added Bard access; Removed Sorcerer access; Review unclear damage
Concord of Dissonant Hearts,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Narrow Access,Wizard,"Cleric, Paladin","Added thematic access for Wizard; Removed non-thematic/high-level access for Cleric, Paladin",Keep Action,Needs Manual Review,Needs Manual Review,"Added Wizard access; Removed Cleric, Paladin access; Review unclear damage"
Crown Weighing of Merit,Automatic with prerequisite,Needs Manual Review,33.0-57.8 expected; 5.5 listed,Strong rider: reduced damage budget,Too Low,Safe,Narrow Access,Bard,Paladin,Added thematic access for Bard; Removed non-thematic/high-level access for Paladin,Keep Action,Add Damage Scaling,Acceptable,Added Bard access; Removed Paladin access
Edict of Absolute Finality,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Narrow Access,Warlock,Paladin,Added thematic access for Warlock; Removed non-thematic/high-level access for Paladin,Keep Action,Needs Manual Review,Needs Manual Review,Added Warlock access; Removed Paladin access; Review unclear damage
Final Seal of Denial,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Cleric, Paladin","Removed non-thematic/high-level access for Cleric, Paladin",Keep Action,Needs Manual Review,Acceptable,"Removed Cleric, Paladin access"
Flesh to Paper,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Broaden Access,Warlock,,Added thematic access for Warlock,Keep Action,Needs Manual Review,Needs Manual Review,Added Warlock access; Review unclear damage
Fleshbound Chronicle,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Broaden Access,Bard,,Added thematic access for Bard,Keep Action,Needs Manual Review,Needs Manual Review,Added Bard access; Review unclear damage
Fragmentation Rift,Saving Throw,Needs Manual Review,21.4-46.2 expected; 77.0 listed,Strong rider: reduced damage budget,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Needs Manual Review,Review named damage outlier; Review unclear damage
Fraying of the Loom,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Man ↔ Cock,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Needs Manual Review,Needs Manual Review,Added Druid access; Review unclear damage
Paradox of Endless Petition,Saving Throw,Needs Manual Review,66.0-77.0 expected; 5.5 listed,No strong rider,Too Low,Needs Dispel Method,Remove Classes,,Paladin,Removed non-thematic/high-level access for Paladin,Keep Action,Add Damage Scaling,Needs Manual Review,Removed Paladin access; Review permanent effect
Ragna’s Unfettered Descent,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Seal of Severed Passage,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Narrow Access,Warlock,"Cleric, Paladin","Added thematic access for Warlock; Removed non-thematic/high-level access for Cleric, Paladin",Keep Action,Needs Manual Review,Acceptable,"Added Warlock access; Removed Cleric, Paladin access"
Seam Ripper of the Living World,Saving Throw,Needs Manual Review,42.9-61.6 expected; 2.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
The Specter’s Invitation,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Touch of the Nereid,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Needs Manual Review,Acceptable,Added Druid access
Abhaaldrac’s Unmaking Descent,Environmental with avoidance rules,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Needs Save,Broaden Access,Wizard,,Added thematic access for Wizard,Change to Bonus Action,Needs Manual Review,Needs Manual Review,Added Wizard access; Bonus Action casting; Review permanent effect
Cataclysm of Tainted Radiance,Saving Throw,Needs Manual Review,25.0-66.0 expected; 44.0 listed,Strong rider: reduced damage budget,Acceptable,Safe,Keep,,,Existing access is thematic.,Change to Reaction,Add Damage Scaling,Acceptable,Reaction casting
Create Spell,Environmental with avoidance rules,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Needs Dispel Method,Broaden Access,Druid,,Added thematic access for Druid,Change to Ritual,Needs Manual Review,Needs Manual Review,Added Druid access; Ritual casting; Review permanent effect
Crown Decree of Stillness,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Cleric, Paladin","Removed non-thematic/high-level access for Cleric, Paladin",Keep Action,Needs Manual Review,Acceptable,"Removed Cleric, Paladin access"
Exiled from the Self,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Needs Dispel Method,Broaden Access,"Bard, Druid",,"Added thematic access for Bard, Druid",Change to Ritual,Needs Manual Review,Needs Manual Review,"Added Bard, Druid access; Ritual casting; Review permanent effect"
Great Severance of the Lattice,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Heartbreaker,Saving Throw,Needs Manual Review,38.5-82.5 expected; 3.5 listed,Strong rider: reduced damage budget,Too Low,Needs Manual Review,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Needs Manual Review,Review permanent effect
Judgment of the Loom,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Needs Manual Review,Narrow Access,"Bard, Wizard",Paladin,"Added thematic access for Bard, Wizard; Removed non-thematic/high-level access for Paladin",Change to Ritual,Needs Manual Review,Needs Manual Review,"Added Bard, Wizard access; Removed Paladin access; Ritual casting; Review permanent effect"
Lamentbound Dram,Saving Throw,Needs Manual Review,50.1-88.0 expected; 44.0 listed,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Mirabel's Final Verse,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Needs Manual Review,Narrow Access,Druid,Sorcerer,Added thematic access for Druid; Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Needs Manual Review,Added Druid access; Removed Sorcerer access; Review unclear damage; Review permanent effect
Obliteration Memorandum,Saving Throw,Needs Manual Review,77.0-110.0 expected; 55.0 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Recall from Morena's Grasp,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Scouring of the Loom,Saving Throw,Needs Manual Review,77.0-110.0 expected; 82.5 listed,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Removed Sorcerer access
Strike from the Loom,Saving Throw,Needs Manual Review,77.0-110.0 expected; 130.0 listed,No strong rider,Needs Manual Review,Safe,Narrow Access,Wizard,Paladin,Added thematic access for Wizard; Removed non-thematic/high-level access for Paladin,Keep Action,Add Damage Scaling,Needs Manual Review,Added Wizard access; Removed Paladin access; Review named damage outlier; Review unclear damage
Vow of Erasure,Automatic with prerequisite,Needs Manual Review,77.0-110.0 expected; 5.5 listed,No strong rider,Too Low,Needs Save,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Needs Manual Review,Removed Sorcerer access; Review permanent effect
