Images,Spell Name,Page,Source,Foundry Tag,,Tag ABRV,Theme,Class,New Class,Level,School,School ABRV,Description,Notes,Clarification,Table,Flavor,Quotes,Damage,Damage Type,Condition,Saving Throw,Success,Fail,Skill Check,Ability Check,DC,Ritual,Techno Magic,Casting Time,Casting Unit,Casting Type,Trigger,Duration,Duration Type,Duration Amount,Duration Unit,Up To,Concentration,Range,Range Type,Range Unit,Range Distance,Area,Area Type,Area ABRV,Area Unit,Area Distance,Components,Components ABVR,Component Description (Material),Component Description (Somatic),Component Description (Verbal),Terrain,Terrain Effect,Consecrated / Desecrated,Cost,Blood Pact,Blood Pact Effect,Arcane Strain,References SRD,Image Url,DDB,WA,DDB Sync Status,DDB Sync Error,DDB Last Synced,DDB Publish Status
,Revelation That Breaks the Mind,0,ORIO,Grants Advantage,Grants Advantage,ADV,,"Sorcerer, Wizard",Parascientist,5th-level,Evocation,V,"You tear open a sealed truth never meant to be carried by mortal thought and force it into the awareness of a creature within range. The target must make an Intelligence saving throw. On a failure, it takes 6d10 psychic damage as forbidden understanding floods its mind and fractures its sense of self. For 1 minute, the creature suffers disadvantage on Intelligence and Charisma checks while its thoughts spiral around the implications of what it has learned.
On a successful save, the creature takes half damage and suffers no further effect. Some knowledge does not enlighten. It overwhelms.",,,,"> Some secrets are buried not to be forgotten, but to protect the minds of those too fragile to carry them 
> The truth doesn’t just set you free—it unravels you.",,6d10,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","A small, ornate mirror","With a swift, precise motion, you gesture as if shattering the glass of the mirror.",You utter the words 'Tenebrae revelatio',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/revelation%20that%20breaks%20the%20mind.png,3137220,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137220-revelation-that-b",2026-02-15 18:12:36,
,Rite of Royal Absolution,0,ORIO,,,,,"Cleric, Paladin",Parascientist,5th-level,Abjuration,A,"You perform a cleansing rite that strips away imposed influence and coerced obedience, restoring a creature’s sovereign will. The spell removes all poison, disease, and dependency effects, and breaks long-term mental domination, conditioning, and subliminal control. Effects born of indoctrination, enforced loyalty, or imposed identity unravel and lose their hold.

At higher power, the rite can also sever cursed implants, binding artifacts, or devices that exert control over thought or behavior, restoring clarity and autonomy to the afflicted.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R","A small, intricately carved wooden box","With hands held in a calming gesture, you invoke the rite's power","As the box opens, 'May sovereign will be restored'",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/rite%20of%20royal%20absolution.png,3137236,,✅,,2026-02-15 18:13:16,
,Rite of Twin Accord,0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,,"Bard, Cleric",Architect,5th-level,Enchantment,E,"You bind the life rhythms of two willing creatures into perfect concord, forging a shared cadence of motion, thought, and pain. While within 10 feet of each other, the bonded creatures gain advantage on attack rolls, resistance to psychic damage, and the ability to communicate telepathically. When one creature takes damage, the other may use its reaction to absorb half of that damage, splitting the harm between them. The bond manifests as a steady, unseen pulse felt by both participants. If either creature becomes unwilling or unconscious, the accord immediately dissolves.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,10 minutes,,10,Minutes,FALSE,FALSE,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R","A small, intricately carved wooden pendant",You touch the pendants and entwine your fingers,You whisper 'Twin Accord' three times,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/rite%20of%20twin%20accord.png,3137194,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:13:27,
,Spectral Retraction,0,ORIO,Affects Objects,Affects Objects,OBJ,,"Sorcerer, Warlock",Cultist,5th-level,Evocation,V,"You invoke an invisible tether of force that violently pulls a creature backward through the path it came.

Choose one creature within range. That target must succeed on a Strength saving throw or be dragged up to 30 feet in a straight line toward the space it occupied at the start of its previous turn.

- If the target collides with a solid object or creature during this forced movement, it takes 6d12 psychic damage, and the object or creature it struck takes half as much.
- On a successful save, the target is not moved, but still takes half damage from the forceful retraction.
",,,,,,6d12,bludgeoning,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,TRUE,90 feet,Point,90,Feet,,,,,,"Verbal, Somatic","V, S",,Make a grasping motion with your hand.,"Retract, I command you!",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/spectral%20retraction.png,3137506,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:16:43,
,Sundering Gate,0,ORIO,"Requires Sight, Creates Light","Requires Sight, Creates Light",SGT,,"Sorcerer, Warlock",Judge,5th-level,Conjuration,C,"You invoke forbidden authority and rend open a violent passage between two points of the world that should never touch.

A vast, unstable rift opens between your position and another location you can see within range. The tear yawns wide, its edges writhing with warped light and fractured space, and remains open for the duration so long as your focus holds.
	•	Any creature may step through the rift as a movement, arriving instantly at the far side.
	•	All who pass must return through the same gate before it closes.

Those who fail to return are cast into the Between, a collapsing lattice of half-formed dimensions.

While lost between worlds:
	•	The creature cannot be targeted, perceived, contacted, or located by any means.
	•	After 1d6 hours, the world violently rejects them, expelling them into the nearest safe, unoccupied space near the destination.
	•	Upon return, they suffer 3d10 force damage, their bodies and minds wrenched by temporal and spatial dissonance.

If you willingly end the spell or lose consciousness, the gate snaps shut instantly, severing all remaining paths.",,,,,,1d6,,,,,,,,,FALSE,FALSE,Action,1,Action,,10 minutes,,10,Minutes,FALSE,FALSE,60 feet,Point,60,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","A small, ornate key",Make a grasping motion with your hand,Speak the words 'Porta ruptura',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/sundering%20gate.png,3137561,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:18:32,
,Thallan's Suppurating Lance,0,ORIO,"Modifies AC, Creates Light","Modifies AC, Creates Light",MAC,,"Sorcerer, Warlock",Scourge,5th-level,Necromancy,N,"You tear open a festering seam in the air and expel a spear of starving, ulcerous light in a straight line. The lance does not illuminate. It infects space as it passes, like a wound dragged across reality.

Each creature in the line must make a Constitution saving throw.

• Failure: The creature is Cursed by the Lance and suffers 2d8 fire damage as blistering fissures crawl beneath its skin, leaking heat and sickly radiance.
• Success: The creature takes half damage and resists the curse.

While Cursed by the Lance:

• The body of a slain creature ruptures violently, collapsing inward before bursting in a spray of incandescent rot. Creatures within 10 feet take 2d6 fire damage.
• Any creature killed by this detonation tears open in the same manner, allowing the corruption to propagate in a chain of meat-splitting flashes.
• Cursed creatures twitch subtly. Their shadows lag behind them. A faint, wet crackling accompanies their movement.",Level 6,,,"The lance resembles light only in the most accusatory sense. Witnesses describe it as something closer to exposed bone, or the inside of a fever dream made visible.

Those struck often report the sensation of being hollowed rather than burned, as if something ravenous briefly occupied the space where their vitality once resided.",Light is a lie the clean tell themselves. Thallan’s lance reveals what light truly is: hunger given direction.,2d8,Necrotic,,,,,,,,FALSE,FALSE,Action,1,Action,,up to 1 minutes,,1,Minutes,TRUE,TRUE,120 feet,Point,120,Feet,Line/120 ft,Line,L,120,Line,Somatic,S,,"Tear open your palm, then slash the air with a jagged motion.",,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/thallan%27s%20suppurating%20lance.png,3137531,,❌,"Failed to create higher level: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137531-thallans-cons",2026-02-15 18:19:26,
,Thaumaturgic Firewall,0,ORIO,Teleportation,Teleportation,TP,,"Sorcerer, Wizard",Anomalous,5th-level,Evocation,V,"- Any creature attempting to teleport, phase shift, or enter the area via extradimensional travel must succeed on a Charisma saving throw.
- On a failed save, they are forcibly bounced back to their point of origin and take 4d6 psychic damage as the firewall briefly stabilizes their reality—violently.
- Creatures that attempt to cross into the firewall without magical travel feel a pressure in the air but suffer no immediate effect unless the area is layered with other wards.
- The firewall emits a low- frequency pulse only detectable to those attuned to arcane signals. To most, it appears as empty space.
",Missing a bit of info. and Is it a wall or a zone?,,,Firewall protocols were originally adapted from Thaumatech incident logs and reverse- engineered from a failed dimensional quarantine. The area is considered mildly anomalous during the spell’s duration.,,4d6,bludgeoning,,,,,,,,FALSE,FALSE,Action,1,Action,,10 minutes,,10,Minutes,FALSE,TRUE,60 feet,Point,60,Feet,,,,,,"Verbal, Somatic, Material","V, S, R",a small crystal orb,"tapping fingers in a slow, intricate pattern",Korvus' shield of reality,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/thaumaturgic%20firewall.png,3137535,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:19:49,
,The Price of Names,0,ORIO,"Plane Shifting, Grants Advantage","Plane Shifting, Grants Advantage",PS,,"Sorcerer, Warlock",Scourge,5th-level,Enchantment,E,"You strip power from a target’s true name, making them vulnerable.

- The target has disadvantage on all saving throws against effects that explicitly name them in their casting, inscription, or invocation (such as through a name spoken aloud, signed in a document, or used in a ritual).
- Any creature who speaks the target’s name aloud can sense the direction (not exact location) of the target within 1 mile, provided the target is on the same plane.
- This effect ends if the name is burned, rewritten, legally nullified, or exchanged through sanctioned rites (as negotiated through an A.S.T.R.A.L. broker or similar agent).",,,,,,,,,,,,,,,FALSE,FALSE,1 minutes,1,Minutes,,1 week,,1,,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","a small, intricately carved wooden box","make a series of precise, flowing gestures with your hands",utter the words 'Nomen est potestas',,,,,True Name Etching,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/the%20price%20of%20names.png,3137547,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:20:56,
,Truth of Gizy ao zrfzm,0,ORIO,,,,,Sorcerer,,5th-level,Abjuration,A,"You project a metaphysical failsafe that prevents involuntary memory alteration and data corruption within a 10- foot radius sphere.

- Any attempt to erase, fragment, or overwrite memories in this area automatically fails.
- Spells like Memory Fragmentation, Compliance Protocol, and A.S.T.R.A.L. Redaction are nullified within the field.
- Digital and paper records within the field are temporarily immune to deletion by magical or technological means.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 hours,,1,Hours,FALSE,TRUE,Self (10- feet radius),Radius,10,"Self, Feet",,,,,,"Verbal, Somatic, Material","V, S, R","a small, intricately carved crystal orb",rotate your dominant hand in a slow circle,"Astra mentis, veritas mea",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/truth%20of%20gizy%20ao%20zrfzm.png,3137449,,✅,,2026-02-15 18:21:50,
,Unbound Stone,0,ORIO,Creates Light,Creates Light,LGTS,,"Sorcerer, Wizard",Architect,5th-level,Transmutation,T,"You rewrite the obedience of matter itself, compelling solid substance to part and flow aside like water under command.
	•	Choose a solid, nonmagical wall, vault, or reinforced surface no more than 5 feet thick. You open a 10-foot-long, 5-foot-wide passage, the material folding away in rippling bands of pale, unstable light.
	•	The passage shimmers faintly, semi-translucent, as though reality itself is uncertain it should exist.
	•	The opening seals itself after 1 round unless you maintain concentration, in which case it remains for the spell’s duration.
	•	The passage cannot be formed through living creatures or organic matter.

Warded or Enchanted Surfaces:
If the surface is protected by magic, make an Arcana check (DC = 10 + the level of the ward). On a failure, the spell collapses harmlessly, leaving the surface untouched.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,TRUE,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R","A small, polished stone","With a fluid motion, draw your hand across the surface as if tracing an invisible path.",Speak the words 'Materiam reformo' (I reshape matter),,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/unbound%20stone.png,3137526,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:21:57,
,Weft Saturation,0,ORIO,,,,,"Sorcerer, Wizard",Cultist,5th-level,Abjuration,A,"You flood a localized area with an excess of arcane weave, forcing incompatible strands of reality to occupy the same space. Within this zone, magic does not fail because it is suppressed, but because it is overwritten by too many simultaneous truths.

Spells unravel before they can fully resolve, ongoing enchantments flicker and lose coherence, and beings whose existence relies on bindings, artifacts, or sustained arcane structures experience severe disorientation as the Loom pulls them in conflicting directions.

The air hums with invisible tension, as if reality itself is struggling to decide which version of the world should apply here.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,TRUE,30 feet (10- feet radius),Radius,30,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","A small, intricately carved wooden spindle",Twirl fingers in a figure-eight pattern,"Korvus' threads entwine, unraveling truth",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/weft%20saturation.png,3137483,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137483-weft-saturation/e",2026-02-15 18:23:56,
,Witness of the Veil,0,ORIO,Grants Advantage,Grants Advantage,ADV,,"Sorcerer, Warlock","Scourge, Cultist",5th-level,Enchantment,E,"You force a target to see what should remain unseen.

- The target must make a Wisdom saving throw (DC 17) or become paranoid, seeing shadowy figures lurking just beyond their vision.
- While paranoid, the target has disadvantage on Perception checks and must roll a d6 at the start of each turn:

The effect ends early if the target passes three consecutive Wisdom saves or if a a restoration spell is cast.",,,"| Roll | Side Effect Description |
|------- |------------------------------------------------------------------------------------ |
| 1–3 | The hallucinations whisper terrible secrets, causing 2d8 psychic damage. |
| 4–6 | The target acts normally but remains unnerved. |",,,,,,,,,,,17,FALSE,FALSE,Action,1,Action,,10 minutes,,10,Minutes,FALSE,TRUE,60 feet,Point,60,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","A small, ornate mirror",You gesture with your hands as if framing an invisible scene.,You whisper 'Eyes of the unseen' and pause for a moment.,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/witness%20of%20the%20veil.png,3137584,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:24:23,
,Womb of the Unwritten,0,ORIO,,,,,"Sorcerer, Warlock",Scourge,5th-level,Necromancy,N,"You whisper an incantation not meant for mortal tongues, invoking the presence of something that waits between fate and flesh. The spell rewrites the biological continuity of the target’s reproductive essence, severing it from natural law and entangling it with the unknown.
 
- Upon casting, the target must roll a d6—their fate is dictated by an unseen force:
 
- The change is not immediately noticed—it takes effect subtly, like a whisper embedded in the fabric of their being.
- Any attempt to reverse the effect without understanding it risks creating a secondary anomaly, potentially rewriting the target’s entire genetic structure.",,,"| Roll | Side Effect Description |
|------- |---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 1–2 | Fertility Erasure – The target is forgotten by the lineage of time; they can no longer conceive, and records of their ancestry begin to fade from existence. |
| 3–4 | Unstable Genesis – The target’s fertility is unpredictably altered, capable of conception or sterility depending on external anomalies—moon phases, forgotten dreams, or whispers. |
| 5 | Fractured Inheritance – Any offspring conceived by the target will inherit memories, scars, or traits from an unknown progenitor, one that never lived yet has always existed. |
| 6 | The Unborn Take Root – The target experiences a phantasmal pregnancy, feeling the weight of something growing within them—yet no child is ever born, only a presence that lingers. |",,,,,,,,,,,,FALSE,FALSE,10 minutes,10,Minutes,,Permanent (until the anomaly resolves itself),Permanent,,,FALSE,FALSE,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R","A small, intricately carved wooden box",Tapping the target's forehead with your index finger,Whispering 'Ephemerae scripta' three times,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/womb%20of%20the%20unwritten.png,3137586,,✅,,2026-02-15 18:24:33,
,Conjure Seducers,0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,,Warlock,Architect,6th-level,Conjuration,C,"You utter forbidden words of beckoning, calling forth a presence drawn not by allegiance, but by desire, fascination, or emotional resonance.

Choose an unoccupied space within range. An alluring extraplanar entity materializes and remains for the duration. The entity is bound to your service but retains its own will, temperament, and interpretation of your commands.

The creature is neither mindless nor fully obedient. It cooperates selectively, expresses preferences, and pursues subtle interests of its own.

Each time a creature engages in a meaningful interaction with the entity, that creature must make a Constitution saving throw. Meaningful interaction includes extended conversation, physical contact, or willingly accepting favors, bargains, or assistance.

• Failure: The creature suffers a draining backlash, taking 3d6 psychic damage and having disadvantage on Constitution checks until it finishes a long rest.
• Failure by 5 or more: The creature also gains one level of exhaustion.

A creature can only be subjected to this saving throw once per turn.

The entity remains until dismissed, destroyed, or the spell ends. When it departs, it invariably extracts some narrative or situational concession determined by the GM.

Creatures immune to charm effects have advantage on the saving throw.",,,,Ancient texts warn that too many summons attract the attention of something greater.,,3d6,,,,,,,,,FALSE,FALSE,1 minutes,1,Minutes,,Special,Special,,,FALSE,FALSE,Self,Point,,Self,,,,,,"Verbal, Somatic","V, S",,"A subtle, sinuous gesture with your hands","The whispered phrase 'Come to me, and let us dance'",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/conjure%20seducers.png,3137232,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137232-conjure-succubus-",2026-02-15 17:56:25,
,Echo of the Forgotten,0,ORIO,"Requires Sight, Modifies AC, Uses Bonus Action, Difficult Terrain, Affects Objects","Requires Sight, Modifies AC, Uses Bonus Action, Difficult Terrain, Affects Objects",SGT,,"Sorcerer, Warlock",Cultist,6th-level,Necromancy,N,"You call forth a fractured specter of residual existence, an entity shaped from discarded impressions and incomplete memory.

The Echo manifests in an unoccupied space you can see within range and persists for the duration.

⸻

Echo of the Forgotten

• Armor Class: 16
• Hit Points: 60
• Speed: 0 ft., Fly 40 ft. (hover)

• Resistances: Bludgeoning, Piercing, and Slashing from nonmagical attacks
• Condition Immunities: Grappled, Prone, Restrained

⸻

Phantom Passage

The Echo can move through creatures and solid objects as if they were difficult terrain. If it ends its turn inside an object, it is harmlessly shunted to the nearest unoccupied space.

⸻

Actions

Cognitive Tendrils. Melee Spell Attack: your spell attack modifier to hit, reach 10 ft., one target.

• Hit: 2d10 psychic damage.

The Echo acts on your initiative and requires your bonus action to take the Cognitive Tendrils action. If you issue no commands, it takes no actions.

⸻

Behavior

The Echo obeys only deliberate commands you provide. If you are Incapacitated, the Echo vanishes at the end of your next turn.
",,,,,,2d10,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,FALSE,60 feet,Point,60,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","a small, intricately carved stone","tapping your fingers together in a slow, deliberate rhythm",whispering 'Astra memoria',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/echo%20of%20the%20forgotten.png,3137280,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:58:20,
,Erudit Mind Fracture,0,ORIO,,,,,"Sorcerer, Wizard",Architect,6th-level,Evocation,V,"You rupture the disciplined architecture of a creature’s mind, splintering the ordered structures that sustain thought and perception.

Choose one creature within range. The target must make an Intelligence saving throw.

• Failure: The creature takes 8d8 psychic damage and is Incapacitated until the end of its next turn.

• Failure by 5 or more: The creature is additionally Blinded for 1 minute. The creature may repeat the Intelligence saving throw at the end of each of its turns, ending the blindness on a success.

• Success: The creature takes half damage and suffers no additional effects.

⸻

Scaling

When cast using a spell slot of 7th level or higher, the fracture deepens, tearing through more resilient strata of cognition. The psychic damage increases by 1d8 for each slot level above 6th, as progressively deeper layers of ordered thought collapse under the strain.",,,,,,8d8,Lightning,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,60 feet,Point,60,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","A small, intricately carved crystal prism","With a swift, precise motion, you gesture as if tracing an invisible thread","As thoughts unravel, you whisper 'Fractura mentis'",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/erudit%20mind%20fracture.png,3137256,,❌,"Failed to create higher level: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137256-erudit-mind-f",2026-02-15 17:59:40,
,Everbright Cascade,0,ORIO,"Creates Light, Difficult Terrain","Creates Light, Difficult Terrain",LGTS,,"Sorcerer, Wizard","Architect, Cultist",6th-level,Evocation,V,"You unleash a torrent of Everbright radiance interwoven with striations of shadow, scouring the space before you with blinding intensity.

A 30-foot cone of refracted brilliance erupts from you. Creatures within the area must make a Constitution saving throw.

• Failure: A creature takes 8d8 fire damage and is Blinded until the end of its next turn.
• Success: A creature takes half damage and is not Blinded.

The radiance leaves behind a fleeting instability. Until the start of your next turn, the affected area is considered difficult terrain as light-distorted space resists movement.

The flare fades almost immediately, though afterimages and shimmering distortions may briefly linger.",,,,,,8d8,Radiant,,,,,,,,FALSE,FALSE,Action,1,Action,,Up to 1 minutes,,1,Minutes,TRUE,TRUE,Self,Point,,Self,30 ft Cone,Cone,N,30,Cone,"Material, Somatic, Verbal","V, S, R",A small crystal prism,"With hands splayed, fingers spread wide","Illuminare, fractio, permanere",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/everbright%20cascade.png,3137426,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:59:48,
,Forced Alignment,0,ORIO,Requires Sight,Requires Sight,SGT,,"Sorcerer, Wizard",Medic,6th-level,Transmutation,T,"You impose a momentary perfection upon a creature’s vital thread, coercing the Loom into an idealized configuration.

Choose one creature within range that you can see. The target must make a Charisma saving throw.

• Failure: Select one of the creature’s ability scores. That score increases by 4, to a maximum of 24, for the duration.

The imposed perfection destabilizes the creature’s weave. Roll a d6 to determine which other ability score is reduced:

1 Strength
2 Dexterity
3 Constitution
4 Intelligence
5 Wisdom
6 Charisma

The rolled ability score (excluding the enhanced score; reroll if necessary) is reduced by 4 for the duration.

• Success: The creature resists the effect and is unaffected.

When the spell ends, all modified ability scores return to their original values.
",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 hours,,1,Hours,FALSE,FALSE,Touch,Point,,Touch,,,,,,"Verbal, Somatic","V, S",,"With a gentle tug, you manipulate the thread",As the Loom's harmony unfolds,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/forced%20alignment.png,3137371,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:01:24,
,Imperial Shroud of Denial,0,ORIO,Requires Sight,Requires Sight,SGT,,"Wizard, Sorcerer, Warlock",,6th-level,Abjuration,A,"You impose the Imperatum’s censoring veil upon a region, asserting sovereign control over perception, detection, and distant inquiry.

Choose a point you can see within range. A 30-foot-radius sphere centered on that point is shrouded for the duration.

Within the sphere:

• Divination spells of 6th level or lower cannot perceive into or within the area
• Magical sensors, scrying effects, and clairvoyant manifestations are suppressed while overlapping the veil
• Creatures attempting supernatural perception treat the area as heavily obscured
• Illusory distortions and false impressions subtly manifest at the boundary of perception

Effects created by divination magic of 7th level or higher are not automatically suppressed but require a successful spellcasting ability check against your spell save DC to function within the area.

The veil blocks extraplanar observation only for effects of 6th level or lower.

Duration: Concentration, up to 10 minutes.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,10 minutes,,10,Minutes,FALSE,TRUE,Self (30- feet radius),Radius,30,"Self, Feet",,,,,,"Verbal, Somatic, Material","V, S, R","A small, ornate mirror with an Imperatum's crest","Make a subtle, sweeping motion with your hand as if tracing the outline of a throne",Speak the words 'Sola Imperium' in a hushed tone,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/imperial%20shroud%20of%20denial.png,3137182,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:04:33,
,Loop of the Stolen Moment,0,ORIO,"Requires Sight, Modifies AC","Requires Sight, Modifies AC",SGT,,"Sorcerer, Wizard",,6th-level,Conjuration,C,"You seize a creature’s immediate past and bind it into a closed temporal loop.

Choose one creature you can see within range. The target must make a Wisdom saving throw. On a failure, the creature becomes trapped in a repeating fragment of time for the spell’s duration.

While trapped in the loop:

• The creature cannot choose new actions, movement, or reactions.
• On each of its turns, it must repeat the same actions, movement, and attacks it performed on its previous turn, following the same targets, paths, and decisions where possible.
• If a repeated action is no longer possible (for example, the target has moved, a path is blocked, or a condition prevents the action), that portion of the turn is lost with no substitute behavior.
• The creature’s awareness remains intact, but it cannot alter the looped behavior.

At the end of each of its turns, the creature may repeat the Wisdom saving throw, ending the effect on a success.",,,,,,,,,,,,,,,FALSE,FALSE,1 minutes,1,Minutes,,1 minutes,,1,Minutes,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","a small, intricately carved wooden hourglass","with hands in a slow, circular motion",as you whisper 'tempus fugit',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/loop%20of%20the%20stolen%20moment.png,3137451,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137451-loop-of-the-stole",2026-02-15 18:06:09,
